id,item,profile,rate_u
1,583,4,4.13
2,493,96,1.64
3,315,68,3.53
4,921,2,2.84
5,372,79,1.85
6,925,58,3.2
7,142,45,4.24
8,266,47,1.3
9,529,44,4.82
10,208,54,2.68
11,434,25,2.94
12,507,72,1.84
13,507,66,3.2
14,772,47,1.43
15,328,44,1.46
16,616,15,2.34
17,503,78,1.54
18,388,31,3.32
19,63,70,4.79
20,178,30,4.59
21,124,21,2.2
22,788,85,3.64
23,262,53,3.0
24,608,75,2.37
25,807,39,1.21
26,947,96,1.89
27,877,59,4.25
28,287,46,4.78
29,9,62,4.73
30,698,2,2.91
31,681,72,1.66
32,82,37,2.48
33,624,68,3.58
34,698,57,1.22
35,784,62,4.29
36,961,7,4.74
37,344,40,2.43
38,387,29,3.92
39,698,1,2.08
40,369,51,1.31
41,861,85,3.95
42,963,14,2.19
43,776,21,2.88
44,764,85,4.34
45,223,5,1.68
46,858,89,4.15
47,334,43,1.72
48,357,23,3.28
49,514,87,1.84
50,652,23,2.87
51,578,84,4.82
52,436,65,4.22
53,361,4,1.22
54,381,95,3.51
55,153,5,3.59
56,328,92,2.87
57,409,29,3.23
58,94,74,2.84
59,762,36,3.12
60,214,52,3.51
61,557,68,2.89
62,827,69,1.35
63,992,3,2.47
64,682,94,2.99
65,529,81,3.74
66,637,84,3.26
67,842,51,1.15
68,225,22,2.19
69,224,89,3.17
70,771,92,2.5
71,780,34,3.74
72,5,88,4.18
73,571,38,2.1
74,112,7,1.39
75,429,27,3.36
76,892,87,1.22
77,685,86,2.95
78,552,20,2.06
79,827,48,3.93
80,563,53,3.34
81,560,45,3.57
82,42,4,2.84
83,148,72,2.06
84,950,21,4.31
85,830,93,1.7
86,10,3,4.26
87,451,26,2.22
88,724,78,3.13
89,729,4,1.92
90,306,71,4.23
91,637,8,2.37
92,954,21,3.54
93,890,67,4.18
94,187,81,1.83
95,557,27,1.61
96,997,88,3.39
97,61,8,4.92
98,632,74,4.17
99,180,96,1.53
100,790,84,1.09
